Academia	1
Animals	2
Athletic Training	3
Bacteriology	4
Biochemistry	5
Bioinformatician	6
Bio-statistics	7
Biotechnology	8
Chiropractic	9
Dentist/Orthodontist	10
Dietician	11
Drug Development	12
Fitness & Wellness	13
Geneticist	14
Genetic Counselor	15
Industry	16
Laboratory Work	17
Landscape Architect	18
Landscape Industry	19
Medical Laboratory Scientist	20
Optometry	21
Park Ranger	22
Pharmacist	23
Physical Therapy/Occupational Therapy	24
Physician (this includes MD or DO with any specialty)	25
Physician Assistant	26
Plants	27
Public Health/Non-profits	28
Virology	29
Researcher	30
Teacher	31
Other	32
Undecided	33